Message Name | Registration Method | Args | Origin
`HELP_MSG_ADD` | `RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`(frame, msg)` | alramnotice.lua<br>helplist.lua<br>helpmsgbox.lua<br>piphelp.lua
`GAME_START` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)`<br>`(frame)`<br>`(frame, changeDirection)` | alramnotice.lua<br>ancient_solo_dungeon_info.lua<br>attendance.lua<br>changejob.lua<br>changejobbutton.lua<br>chatframe.lua<br>damage_meter.lua<br>durnotify.lua<br>friend.lua<br>headsupdisplay.lua<br>helplist.lua<br>housing_editmode.lua<br>housing_promote_post.lua<br>inte_warp.lua<br>inventory.lua<br>joystickquickslot.lua<br>map.lua<br>minimap.lua<br>minimizedalarm.lua<br>minimizedeventbanner.lua<br>minimized_certificate_shop_button.lua<br>minimized_event_progress_check_button.lua<br>minimized_guild_housing.lua<br>minimized_housing_craft.lua<br>minimized_housing_promote_board.lua<br>minimized_leticia_button.lua<br>minimized_personal_housing.lua<br>minimized_pvpmine_shop_button.lua<br>minimized_total_shop_button.lua<br>minimized_tp_button.lua<br>minimized_tutorialnote_button.lua<br>necronomicon_hud.lua<br>party.lua<br>partyinfo.lua<br>pet_list.lua<br>playtime.lua<br>poisonpot_hud.lua<br>quest.lua<br>questinfo.lua<br>questinfoset_2.lua<br>quickslotnexpbar.lua<br>relicmanager.lua<br>status.lua<br>summonsinfo.lua<br>sysmenu.lua<br>sysmenu_custom.lua<br>weaponswap.lua
`ANCIENT_CARD_GACHA_START` | `RegisterMsg` | `(frame,msg,argStr,argNum)` | ancient_card_gacha.lua
`ANCIENT_CARD_GACHA_CARD_OPEN` | `RegisterMsg` | `(frame,msg,argStr,argNum)` | ancient_card_gacha.lua
`ANCIENT_CARD_GACHA_CARD_DUMMY_OPEN` | `RegisterMsg` | `(frame,msg,argStr,argNum)` | ancient_card_gacha.lua
`ANCIENT_CARD_GACHA_END` | `RegisterMsg` | `(frame)` | ancient_card_gacha.lua
`ANCIENT_CARD_ADD` | `RegisterMsg` | `(frame,msg, guid)` | ancient_card_list.lua
`ANCIENT_CARD_REMOVE` | `RegisterMsg` | `(frame)` | ancient_card_list.lua
`ANCIENT_CARD_LIST_LOAD` | `RegisterMsg` | `(frame)` | ancient_card_list.lua
`ANCIENT_CARD_UPDATE_EXP` | `RegisterMsg` | `(frame,msg, guid,slot)` | ancient_card_list.lua
`ANCIENT_CARD_COMBINE` | `RegisterMsg` | `(frame,msg, guid,slot)` | ancient_card_list.lua
`ANCIENT_CARD_EVOLVE` | `RegisterMsg` | `(frame,msg, guid,slot)` | ancient_card_list.lua
`ANCIENT_CARD_UPDATE_SLOT` | `RegisterMsg` | `(frame)` | ancient_card_list.lua
`ANCIENT_CARD_LOCK` | `RegisterMsg` | `(frame,msg,guid)` | ancient_card_list.lua
`ANCIENT_MON_REGISTER` | `RegisterMsg` | `()` | ancient_mon_list.lua
`ANCIENT_MON_REMOVE` | `RegisterMsg` | `()` | ancient_mon_list.lua
`ANCIENT_MON_LIST_LOAD` | `RegisterMsg` | `()` | ancient_mon_list.lua
`ANCIENT_MON_UPDATE_EXP` | `RegisterMsg` | `()` | ancient_mon_list.lua
`ANCIENT_MON_COMPOSE` | `RegisterMsg` | `()` | ancient_mon_list.lua
`ANCIENT_MON_UPDATE_SLOT` | `RegisterMsg` | `()` | ancient_mon_list.lua
`ANCIENT_SOLO_MONSTER_DEAD` | `RegisterMsg` | `(frame,msg,strArg,numArg)` | ancient_solo_dungeon_info.lua
`OPEN_DLG_APPRAISAL` | `RegisterMsg` | `(frame, msg, arg1, arg2)` | appraisal.lua
`SUCCESS_APPRALSAL` | `RegisterMsg` | `(frame, msg, arg1, arg2)` | appraisal.lua
`SUCCESS_APPRALSAL_PC` | `RegisterMsg` | `(frame)` | appraisal_pc.lua
`ADDON_CLOSE_MSG` | `RegisterMsg` | `()` | appraiser_forgery.lua
`OPEN_DLG_ARKDECOMPOSE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | arkdecompose.lua
`RESULT_ARK_DECOMPOSE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | arkdecompose.lua
`ARK_COMPOSITION_EXP_UP_SUCCESS` | `RegisterMsg` | `(pc, msg, guid)` | ark_composition.lua
`ARK_COMPOSITION_LV_UP_SUCCESS` | `RegisterMsg` | `(pc, msg, guid)` | ark_composition.lua
`ARK_RELOCATION_SUCCESS` | `RegisterMsg` | `(pc, msg, dest_item_idx)` | ark_relocation.lua
`CREATED_ARROW_ITEM` | `RegisterMsg` | `(frame, msg, str, num)` | arrow_craft.lua
`FAIL_CREATE_ARROW_ITEM` | `RegisterMsg` | `(frame, msg, str, num)` | arrow_craft.lua
`UPDATE_ATTENDANCE_REWARD` | `RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`(frame)` | attendance.lua<br>listselect_ui.lua
`ATTENDANCE_REWARD_CHECK_UI_ON` | `RegisterMsg` | `(frame, argStr, argNum, argNum2)` | attendance.lua
`NPC_AUCTION_LIST` | `RegisterMsg` | `(frame, msg, auctionName, npcHandle)`<br>`(frame)` | auction.lua<br>auction_popup.lua
`NPC_AUCTION_BID` | `RegisterMsg` | `(frame, msg, guid)` | auction.lua<br>auction_popup.lua
`NPC_AUCTION_MYINFO` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, msg, auctionName)`<br>`(frame)` | auction.lua<br>sysmenu.lua
`NPC_AUCTION_DEL` | `RegisterMsg` | `(frame)` | auction_popup.lua
`BANDI_CAM` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | bandicam.lua
`BEAT_KEYBOARD` | `RegisterMsg` | `(frame, msg, beatCnt, second)` | beatkeyboard.lua
`BEAUTYSHOP_UI_OPEN` | `RegisterMsg` | `(frame, msg, shopTypeName, genderNum)` | beautyshop.lua
`BEAUTYSHOP_PURCHASED_HAIR_LIST` | `RegisterMsg` | `()` | beautyshop.lua
`BEAUTYSHOP_DIRECTION_START` | `RegisterMsg` | `(frame, msg, argString, argNum)` | beautyshop.lua
`BEAUTYSHOP_DIRECTION_END` | `RegisterMsg` | `(frame, msg, argString, argNum)` | beautyshop.lua
`BEAUTYSHOP_PURCHASE_FAIL_LIMIT_PAYMENT` | `RegisterMsg` | `(frame, msg, argString, argNum)` | beautyshop.lua
`UPDATE_BEAUTY_COUPON_STAMP` | `RegisterMsg` | `(frame, msg, argStr, stampCnt)` | beauty_coupon.lua
`ROLLBACK_HEAD` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | beauty_hair.lua
`READ_BOOK_ITEM` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | bookitemread.lua
`BOUNTYHUNT_OPEN` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | bountyhunt.lua
`BOUNTYHUNT_CLOSE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | bountyhunt.lua
`BOUNTYHUNT_MILESTONE_OPEN` | `RegisterMsg` | `(frame, msg, strarg, numarg)` | bountyhunt_milestone.lua
`BOUNTYHUNT_MILESTONE_CLOSE` | `RegisterMsg` | `()` | bountyhunt_milestone.lua
`SUCCESS_BRIQUETTING` | `RegisterMsg` | `(frame, msg, guid, argNum)` | briquetting.lua<br>briquetting_result.lua
`BUFF_ADD` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | buff.lua<br>buff_separatedlist.lua
`BUFF_REMOVE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | buff.lua<br>buff_separatedlist.lua
`BUFF_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | buff.lua<br>buff_separatedlist.lua<br>homunclus.lua
`TEST_ADDON_MSG_DUMP_MSG` | `RegisterMsg` | `(frame)` | buff.lua
`RELOAD_BUFF_ADD` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | buff_separatedlist.lua
`OPEN_CAMP_UI` | `RegisterMsg` | `(frame, msg, str, forceOpenUI, isOwner)` | camp_ui.lua
`CAMP_HISTORY_UI` | `RegisterMsg` | `(frame, msg)` | camp_ui.lua
`RINGCOMMANDSELECT` | `RegisterMsg` | `(frame, ctrl)` | cartmenu.lua
`CAST_BEGIN` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | castingbar.lua
`CAST_ADD` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | castingbar.lua
`CAST_END` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | castingbar.lua
`DYNAMIC_CAST_BEGIN` | `RegisterMsg` | `(frame, msg, argStr, maxTime, isVisivle)` | castingbar.lua
`DYNAMIC_CAST_END` | `RegisterMsg` | `(frame, msg, argStr, maxTime, isVisivle)`<br>`(frame, msg, str, arg)	frame:ShowWindow(0);endfunction ON_CELL_CASTING_START(frame, msg, str, maxTime)	local timeGauge = GET_CHILD(frame, "timeGauge", "ui::CGauge");	timeGauge:SetPoint(0, 100);	timeGauge:SetPointWithTime(100, maxTime);	frame:ShowWindow(1);	frame:SetDuration(maxTime);endfunction ON_CELL_REMAIN_COUNT(frame, msg, str, cellCount)	local cellText = GET_CHILD(frame, "cellText", "ui::CRichText");	cellText:SetTextByKey("remainCell", cellCount)` | castingbar.lua<br>cellselect.lua
`CASUAL_GAMBLE_ITEM_GET` | `RegisterMsg` | `(frame, msg, itemid, itemCount)` | casualgamble.lua
`CELL_CASTING_START` | `RegisterMsg` | `(frame, msg, str, maxTime)	local timeGauge = GET_CHILD(frame, "timeGauge", "ui::CGauge");	timeGauge:SetPoint(0, 100);	timeGauge:SetPointWithTime(100, maxTime);	frame:ShowWindow(1);	frame:SetDuration(maxTime);endfunction ON_CELL_REMAIN_COUNT(frame, msg, str, cellCount)	local cellText = GET_CHILD(frame, "cellText", "ui::CRichText");	cellText:SetTextByKey("remainCell", cellCount)` | cellselect.lua
`CHAIN_SKILL_SET` | `RegisterMsg` | `(frame, msg, str, arg, info)` | chainskill.lua
`UI_CHALLENGE_MODE_TOTAL_KILL_COUNT` | `RegisterMsg` | `(frame, msg, str, arg)` | challenge_mode.lua
`FIELD_DUNGEON_KILL_COUNT` | `RegisterMsg` | `()` | challenge_mode.lua
`EVENT_DUNGEON_KILL_COUNT` | `RegisterMsg` | `()` | challenge_mode.lua
`JOB_HISTORY_UPDATE` | `RegisterMsg` | `(frame)` | changejob.lua
`CHANGE_CLIENT_SIZE` | `RegisterMsg` | `(frame)`<br>`(frame, msg)` | changejob.lua<br>chatframe.lua<br>fieldui.lua<br>fullblack.lua<br>map.lua<br>mic.lua<br>uieffect.lua
`UPDATE_CLASS_RESET_POINT_INFO` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | changejob.lua
`JOB_CHANGE` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame, msg, name, range)`<br>`(frame)` | changejobbutton.lua<br>jobcommand.lua<br>necronomicon_hud.lua<br>poisonpot_hud.lua<br>skillability.lua<br>status.lua<br>sysmenu.lua<br>sysmenu_custom.lua
`JOB_EXP_ADD` | `RegisterMsg` | `(frame, msg, name, range)`<br>`(frame, msg, str, exp, tableinfo)` | changejobbutton.lua<br>charbaseinfo.lua<br>jobchangenotice.lua
`QUEST_UPDATE` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame, msg, name, range)`<br>`(frame)` | changejobbutton.lua<br>map.lua<br>minimap.lua<br>quest.lua<br>questinfo.lua<br>questinfoset_2.lua
`START_JOB_CHANGE` | `RegisterMsg` | `(frame, msg, name, range)`<br>`()` | changejobbutton.lua<br>summonsinfo.lua
`ZONE_TRAFFICS` | `RegisterMsg` | `(frame, msg, argStr)` | channel.lua
`LEVEL_UPDATE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, msg, argStr, argNum)` | charbaseinfo.lua<br>headsupdisplay.lua<br>inventory.lua
`EXP_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | charbaseinfo.lua
`JOB_EXP_UPDATE` | `RegisterMsg` | `(frame, msg, str, exp, tableinfo)` | charbaseinfo.lua
`CHANGE_COUNTRY` | `RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`(frame)` | charbaseinfo.lua<br>headsupdisplay.lua<br>questreward.lua
`SET_CHAT_MACRO_DEFAULT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | chatmacro.lua
`TOKEN_STATE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame)`<br>`(frame, msg, argStr, argNum)` | chatmacro.lua<br>status.lua
`ADD_CHAT_EMOTICON` | `RegisterOpenOnlyMsg` | `(frame)` | chat_emoticon.lua
`REMOVE_FRIEND` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `()`<br>`(frame, msg, aid, listType)` | chat_grouplist.lua<br>friend.lua<br>sysmenu.lua
`ADD_FRIEND` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `()`<br>`(frame, msg, aid, listType)` | chat_grouplist.lua<br>friend.lua<br>sysmenu.lua
`UPDATE_FRIEND_LIST` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `()`<br>`(frame, msg, argStr, argNum)` | chat_grouplist.lua<br>friend.lua<br>sysmenu.lua
`SET_COIN_GET_GAUGE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | coin_get_gauge.lua
`UPDATE_COIN_GET_GAUGE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | coin_get_gauge.lua
`ADD_COLLECTION` | `RegisterMsg` | `(frame, msg)` | collection.lua<br>pump_collection.lua
`COLLECTION_ITEM_CHANGE` | `RegisterMsg` | `(frame, msg, str, type, removeType)` | collection.lua<br>pump_collection.lua
`INV_ITEM_ADD` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, msg, str, type, removeType)`<br>`(frame, msg, argStr, argNum)`<br>`(frame)` | collection.lua<br>inventory.lua<br>itemCraft.lua<br>joystickrestquickslot.lua<br>poisonpot.lua<br>poisonpot_hud.lua<br>pump_collection.lua<br>questinfo.lua<br>restquickslot.lua<br>sequentialpickitem.lua<br>setitemalarm.lua
`INV_ITEM_IN` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, msg, str, type, removeType)` | collection.lua<br>sequentialpickitem.lua
`INV_ITEM_POST_REMOVE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, msg, str, type, removeType)`<br>`(frame, msg, argStr, argNum)`<br>`(frame)` | collection.lua<br>inventory.lua<br>itemCraft.lua<br>joystickrestquickslot.lua<br>quickslotnexpbar.lua<br>restquickslot.lua<br>shop.lua<br>tournament_gift.lua
`INV_ITEM_CHANGE_COUNT` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, msg, str, type, removeType)`<br>`(frame, msg, str, time)`<br>`(frame)` | collection.lua<br>itemCraft.lua<br>joystickrestquickslot.lua<br>quickslotnexpbar.lua<br>restquickslot.lua<br>shop.lua<br>tournament_gift.lua
`UPDATE_READ_COLLECTION_COUNT` | `RegisterMsg` | `(frame, msg, str, type, removeType)`<br>`(frame, msg, argStr, argNum)` | collection.lua<br>sysmenu.lua
`COLLECTION_UI_OPEN` | `RegisterMsg` | `(frame)` | collection.lua
`COLONY_ALARM_MSG` | `RegisterMsg` | `(frame, msg, argStr, diffSec)` | colony_alarm.lua
`COLONY_BGM` | `RegisterMsg` | `(frame, msg, argStr, diffSec)` | colony_alarm.lua
`UPDATE_COLONY_MARKET_FEE_PAYMENT_LIST` | `RegisterMsg` | `(frame, msg, strarg, numarg)` | colony_payment.lua
`UPDATE_COLONY_POINT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | colony_point_info.lua
`OPEN_COLONY_POINT` | `RegisterMsg` | `(frame, msg)`<br>`(frame)` | colony_point_info.lua<br>map.lua<br>minimap.lua
`UPDATE_OTHER_GUILD_EMBLEM` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | colony_point_info.lua<br>colony_result.lua<br>ranksystem_ui.lua<br>worldmap.lua<br>worldmap2_colonymap.lua<br>worldmap2_mainmap.lua
`COLONY_OCCUPATION_INFO_UPDATE` | `RegisterMsg` | `(frame)`<br>`(frame, changeDirection)` | colony_point_info.lua<br>guildinfo.lua<br>worldmap.lua
`COLONY_BUILD_ICON_UPDATE` | `RegisterMsg` | `()` | colony_point_info.lua
`COLONY_BUILD_ICON_REMOVE` | `RegisterMsg` | `()` | colony_point_info.lua
`SUCCESS_SECOND_LEAGUE_COLONY_REWARD` | `RegisterMsg` | `(frame, msg, mapID)` | colony_reward_board.lua
`UPDATE_COLONY_REWARD_DEATIL_LIST` | `RegisterMsg` | `(frame, msg, mapID)` | colony_reward_board.lua
`START_SECOND_LEAGUE_COLONY_REWARD` | `RegisterMsg` | `(frame)` | colony_reward_board.lua
`UPDATE_COLONY_TAX_CHEQUE_LIST` | `RegisterMsg` | `(frame, msg, strarg, numarg)` | colony_tax_board.lua
`UPDATE_COLONY_TAX_HISTORY_LIST` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | colony_tax_board.lua
`COLONY_TAX_CHEQUE_SEND_SUCCESS` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | colony_tax_board.lua
`COLONY_TAX_CHEQUE_RECV` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | colony_tax_board.lua
`UPDATE_COLONY_TAX_CHEQUE` | `RegisterOpenOnlyMsg` | `(frame, msg, argstr, argnum)` | colony_tax_board.lua
`COLONY_TAX_PAYMENT_RECV_SUCCESS` | `RegisterMsg` | `(frame, msg, logKey)` | colony_tax_payment.lua
`CLEAR_COLONY_WARP_LIST` | `RegisterMsg` | `(frame, msg, strarg, numarg)` | colony_warp_list.lua
`ADD_COLONY_WARP_LIST` | `RegisterMsg` | `(frame, msg, strarg, numarg)` | colony_warp_list.lua
`OPEN_COLONY_WARP_LIST` | `RegisterMsg` | `(frame, msg, strarg, numarg)` | colony_warp_list.lua
`COMMON_GAMBLE_ITEM_GET` | `RegisterMsg` | `(frame, msg, itemid, itemCount)` | commongamble.lua<br>eventgamble.lua
`COMMON_GAMBLE_ITEM_GET_END` | `RegisterMsg` | `()` | commongamble.lua
`COMMON_GAMBLE_ITEM_GET_PROPERTY` | `RegisterMsg` | `(frame, msg, class_name, itemCount)` | commongamble.lua
`OPEN_DLG_COMPANIONSHOP` | `RegisterMsg` | `(frame, msg, shopGroup)` | companionshop.lua
`COMPANIONSHOP_FOOD_TAB` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | companionshop.lua
`COMPANIONSHOP_DIALOG_CLOSE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | companionshop.lua
`RELATED_HISTORY` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame, msg, aid, page)` | compare.lua<br>friend.lua
`OPEN_DLG_COMPOSITION_VIBORA` | `RegisterMsg` | `(type)` | composition_vibora.lua
`COMPOSITION_VIBORA_SUCCESS` | `RegisterMsg` | `(frame, msg, guid)` | composition_vibora.lua
`EVENT_2011_5TH_VIBORA_COMPOSITE_SUCCESS` | `RegisterMsg` | `(frame, msg, guid)` | composition_vibora.lua<br>vibora_weapon_trade.lua
`CONTENTS_MULTIPLE_OPEN` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | contents_multiple.lua
`CONTENTS_MULTIPLE_OPEN_CONTENTS` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | contents_multiple.lua
`CONTENTS_MULTIPLE_CLOSE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | contents_multiple.lua
`OPEN_DLG_CUSTOM_COIN_SHOP` | `RegisterMsg` | `(frame,msg,argStr,argNum)` | custom_coin_shop.lua
`CLOSE_DLG_CUSTOM_COIN_SHOP` | `RegisterMsg` | `(frame)` | custom_coin_shop.lua
`WEEKLY_BOSS_DPS_START` | `RegisterMsg` | `(frame,msg,strArg,numArg)` | damage_meter.lua
`WEEKLY_BOSS_DPS_END` | `RegisterMsg` | `(frame,msg,argStr,argNum)` | damage_meter.lua
`WEEKLY_BOSS_DPS_TIMER_UPDATE` | `RegisterMsg` | `(frame,msg,strArg,numArg)` | damage_meter.lua
`OPEN_DLG_DECOMPOSE_MANAGER` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | decompose_manager.lua
`RESULT_DECOMPOSE_MANAGER` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | decompose_manager.lua
`RESULT_DECOMPOSE_VIBORA` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | decompose_manager.lua
`MGAME_VALUE_UPDATE` | `RegisterOpenOnlyMsg` | `(frame, msg, propName, propValue)` | defenceui.lua<br>flaggame.lua<br>guildbattle_score.lua<br>worldpvp_score.lua
`DIALOG_CHANGE_OK` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialog.lua<br>dialogillust.lua
`DIALOG_CHANGE_NEXT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialog.lua<br>dialogillust.lua
`DIALOG_CHANGE_SELECT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialog.lua<br>dialogillust.lua<br>dialogselect.lua
`DIALOG_CLOSE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialog.lua<br>dialogillust.lua<br>dialogselect.lua<br>questend.lua<br>questprogress.lua<br>queststart.lua<br>repair.lua<br>repair140731.lua<br>shop.lua
`ESCAPE_PRESSED` | `RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`(frame)` | dialog.lua<br>dialogselect.lua<br>indunenter.lua<br>questreward.lua<br>shop.lua
`DIALOG_SKIP` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialog.lua
`DIALOG_DIRECT_SELECT_DLG_LIST` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialog.lua
`DIALOG_ESCAPE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialog.lua
`LEAVE_TRIGGER` | `RegisterMsg` | `(frame)` | dialog.lua
`DIALOG_ADD_SELECT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOG_ADD_SELECT_MULTIPLE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOG_NUMBER_RANGE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOG_TEXT_INPUT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOGSELECT_UP` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOGSELECT_DOWN` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOGSELECT_SELECT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOGSELECT_MULTIPLE_SKIN_RESET` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
`DIALOGSELECT_MULTIPLE_SELECT_TOGGLE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | dialogselect.lua
